word,cefr
urkundlich,A1
zweimal,A1
ermöglicht,A1
wichtigsten,A1
vierten,A1
david,A1
wohnung,A1
ganzen,A1
tatsächlich,A1
vorgesehen,A1
republik,A1
stellung,A1
1928,A1
patienten,A1
berichtet,A1
nördlichen,A1
johannes,A1
entlassen,A1
texte,A1
nationalen,A1
weder,A1
abgerissen,A1
ludwig,A1
material,A1
handel,A1
dennoch,A1
klar,A1
autoren,A1
schweren,A1
länder,A1
stein,A1
zunächst,A1
bank,A1
russland,A1
erinnert,A1
zuschauer,A1
unmittelbar,A1
otto,A1
1910,A1
besucher,A1
früh,A1
bekannten,A1
prozess,A1
aufstieg,A1
englischen,A1
höchsten,A1
züge,A1
jüdischen,A1
gegner,A1
dürfen,A1
einheit,A1
idee,A1
eigenes,A1
fertiggestellt,A1
verhindern,A1
motor,A1
guten,A1
notwendig,A1
akademie,A1
amtszeit,A1
beendet,A1
maßnahmen,A1
gelegentlich,A1
größer,A1
1925,A1
bezug,A1
farbe,A1
gegen,A1
gericht,A1
sicht,A1
ernst,A1
zukunft,A1
mitgliedern,A1
fernsehen,A1
bestritt,A1
berg,A1
manchmal,A1
krieges,A1
bekannte,A1
lieder,A1
tode,A1
verschiedener,A1
ungefähr,A1
somit,A1
erhöht,A1
untergebracht,A1
28,A1
herkunft,A1
konzept,A1
getrennt,A1
beziehungen,A1
besonders,A1
blick,A1
plan,A1
technik,A1
tradition,A1
woche,A1
parteien,A1
suche,A1
sprachen,A1
mark,A1
45,A1
fahrzeug,A1
gut,A1
schriften,A1
stellen,A1
wiener,A1
wissenschaftlichen,A1
zuständig,A1
chor,A1
kontrolle,A1
endgültig,A1
großes,A1
möchte,A1
carl,A1
christian,A1
vergangenheit,A1
derzeit,A1
ausnahme,A1
1932,A1
einheiten,A1
holz,A1
studenten,A1
ausgeführt,A1
außen,A1
aufgestellt,A1
vorher,A1
existiert,A1
länger,A1
mittels,A1
bauern,A1
san,A1
veranstaltungen,A1
östlich,A1
trainer,A1
befanden,A1
späten,A1
einzigen,A1
auflösung,A1
gewonnen,A1
westlich,A1
jedoch,A1
mittel,A1
erwarb,A1
nennt,A1
verurteilt,A1
überhaupt,A1
films,A1
erfährt,A1
verändert,A1
anwendung,A1
teilnehmer,A1
bahn,A1
brüder,A1
start,A1
angenommen,A1
flucht,A1
ursprüngliche,A1
26,A1
verfasste,A1
figur,A1
song,A1
starke,A1
städten,A1
förderung,A1
zeiten,A1
eigentlich,A1
kleineren,A1
einrichtungen,A1
publikum,A1
hannover,A1
verhalten,A1
treten,A1
wunsch,A1
du,A1
zugänglich,A1
charakter,A1
club,A1
deshalb,A1
elemente,A1
lehre,A1
existieren,A1
erfolge,A1
gold,A1
philosophie,A1
besitzer,A1
halle,A1
school,A1
iii,A1
international,A1
reise,A1
sicher,A1
1927,A1
aufnahme,A1
bedingungen,A1
spielten,A1
handlung,A1
weisen,A1
gestaltet,A1
angesehen,A1
entstehen,A1
zweiter,A1
hauses,A1
gekommen,A1
ebenfalls,A1
zumindest,A1
tour,A1
betrachtet,A1
düsseldorf,A1
parlament,A1
angebracht,A1
1924,A1
aktivitäten,A1
krankenhaus,A1
rom,A1
erscheinen,A1
zeichen,A1
1921,A1
west,A1
bezeichnete,A1
kirchen,A1
problem,A1
zieht,A1
fuß,A1
traf,A1
beitrag,A1
drei,A1
daraus,A1
verliehen,A1
brand,A1
ebenso,A1
handelte,A1
kennen,A1
unterschiedlich,A1
walter,A1
treffen,A1
hause,A1
vielzahl,A1
beste,A1
endet,A1
kunden,A1
widerstand,A1
freunde,A1
verlegt,A1
deutschlands,A1
general,A1
verletzt,A1
sozialen,A1
je,A1
ausgebaut,A1
folgende,A1
einrichtung,A1
mensch,A1
anfangs,A1
theorie,A1
bestätigt,A1
station,A1
entsteht,A1
erstreckt,A1
vorwiegend,A1
32,A1
gelingt,A1
möglichst,A1
aufgeführt,A1
erreichten,A1
herstellung,A1
schlacht,A1
umgebaut,A1
musiker,A1
höheren,A1
la,A1
jungen,A1
sicherheit,A1
nieder,A1
reicht,A1
unabhängig,A1
mehrheit,A1
wettbewerb,A1
hierbei,A1
schweden,A1
1912,A1
bibliothek,A1
anders,A1
gemeinsame,A1
grenzen,A1
hochschule,A1
city,A1
mittelalter,A1
solchen,A1
verstärkt,A1
kriegsende,A1
spanien,A1
weiterhin,A1
nutzen,A1
aufnahmen,A1
waffen,A1
östlichen,A1
1931,A1
typ,A1
lagen,A1
phase,A1
italienischen,A1
nannte,A1
umfasste,A1
bayern,A1
dach,A1
hotel,A1
wissenschaft,A1
bieten,A1
drittel,A1
erwähnung,A1
gegenwart,A1
oberfläche,A1
höher,A1
parallel,A1
exemplare,A1
produkte,A1
schwerpunkt,A1
1913,A1
richard,A1
gelegt,A1
russischen,A1
farben,A1
feld,A1
unterhalb,A1
songs,A1
schließen,A1
umgeben,A1
joseph,A1
seitdem,A1
behörden,A1
hierbei,A1
gewicht,A1
baute,A1
max,A1
pfarrer,A1
reste,A1
ursprünglich,A1
ergibt,A1
filme,A1
verkehr,A1
bekommen,A1
regionen,A1
töchter,A1
1923,A1
ausdruck,A1
weshalb,A1
bischof,A1
ermöglichen,A1
vergeben,A1
rand,A1
struktur,A1
entsprechenden,A1
einen,A1
besetzt,A1
zufolge,A1
fallen,A1
katholischen,A1
27,A1
abstand,A1
angebot,A1
ziehen,A1
pflanzen,A1
offen,A1
auto,A1
weißen,A1
nicht,A1
rest,A1
stärker,A1
möglichkeiten,A1
bestanden,A1
county,A1
eingang,A1
laufbahn,A1
rechte,A1
maschinen,A1
sekunden,A1
bereichen,A1
offizielle,A1
behandelt,A1
verkaufte,A1
ließen,A1
alexander,A1
generation,A1
monat,A1
wege,A1
gebiete,A1
josef,A1
william,A1
tal,A1
gefahr,A1
benötigt,A1
ältesten,A1
division,A1
ps,A1
paar,A1
einiger,A1
1922,A1
zweck,A1
leitet,A1
möglicherweise,A1
offiziellen,A1
organisiert,A1
zusätzliche,A1
1926,A1
maschine,A1
morgen,A1
werken,A1
wirtschaftlichen,A1
luft,A1
sagte,A1
erfahrungen,A1
richter,A1
bot,A1
verlängert,A1
anlagen,A1
pläne,A1
maximal,A1
feuer,A1
gemälde,A1
präsidenten,A1
veränderungen,A1
mittleren,A1
traten,A1
übersetzt,A1
ausbau,A1
licht,A1
schwierigkeiten,A1
union,A1
zumeist,A1
beschlossen,A1
dorfes,A1
kommission,A1
university,A1
verband,A1
beschreibt,A1
verfassung,A1
folgen,A1
öffentlich,A1
reduziert,A1
widmete,A1
brief,A1
fahrer,A1
linien,A1
lokalen,A1
krankheit,A1
vereine,A1
allgemein,A1
etwa,A1
wissenschaftliche,A1
architekten,A1
ortsteil,A1
höhere,A1
erste,A1
gebäudes,A1
lager,A1
sendung,A1
zählen,A1
australien,A1
gelegenen,A1
setzen,A1
behandlung,A1
gefängnis,A1
orte,A1
eröffnung,A1
insbesondere,A1
überliefert,A1
üblich,A1
qualität,A1
technischen,A1
tun,A1
aussage,A1
bericht,A1
aufgegeben,A1
geriet,A1
inseln,A1
errichtete,A1
sonst,A1
graf,A1
status,A1
unternehmens,A1
bisherigen,A1
entsprechende,A1
erheblich,A1
unbekannt,A1
meer,A1
unterscheidet,A1
gefärbt,A1
andere,A1
energie,A1
uns,A1
verkauf,A1
beruf,A1
beobachtet,A1
wirtschaftliche,A1
gebieten,A1
zusammen,A1
zählte,A1
einschließlich,A1
verteilt,A1
flügel,A1
kreuz,A1
